III.L
ADM.L
AAF.L
AAL.L
ANTO.L
AHT.L
ABF.L
AZN.L
AUTO.L
AV.L
BME.L
BA.L
BARC.L
BDEV.L
BEZ.L
BKG.L
BP.L
BATS.L
BNZL.L
BRBY.L
CNA.L
CCH.L
CPG.L
CTEC.L
CRDA.L
DCC.L
DGE.L
DPLM.L
EDV.L
ENT.L
EXPN.L
FCIT.L
FLTR.L
FRAS.L
FRES.L
GLEN.L
GSK.L
HLN.L
HLMA.L
HIK.L
HWDN.L
HSBA.L
IMI.L
IMB.L
INF.L
IHG.L
ICP.L
ITRK.L
IAG.L
JD.L
KGF.L
LAND.L
LGEN.L
LLOY.L
LSEG.L
MNG.L
MKS.L
MRO.L
MNDI.L
NG.L
NWG.L
NXT.L
OCDO.L
PSON.L
PSH.L
PSN.L
PHNX.L
PRU.L
RKT.L
REL.L
RTO.L
RMV.L
RIO.L
RR.L
RS1.L
SGE.L
SBRY.L
SDR.L
SMT.L
SGRO.L
SVT.L
SHEL.L
SN.L
SMDS.L
SMIN.L
SKG.L
SPX.L
SSE.L
STJ.L
STAN.L
TW.L
TSCO.L
ULVR.L
UTG.L
UU.L
VOD.L
WEIR.L
WTB.L
WPP.L
